iter	Passed	Remaining
852	22070	55551
853	22097	55527
854	22122	55499
855	22146	55470
856	22170	55440
857	22194	55408
858	22218	55378
859	22267	55410
860	22305	55412
861	22356	55450
862	22394	55455
863	22451	55506
864	22496	55526
865	22525	55507
866	22554	55488
867	22582	55467
868	22608	55441
869	22632	55410
870	22656	55380
871	22682	55352
872	22707	55325
873	22731	55293
874	22759	55272
875	22784	55245
876	22810	55219
877	22835	55190
878	22858	55157
879	22883	55127
880	22907	55098
881	22932	55068
882	22958	55042
883	22983	55014
884	23008	54985
885	23032	54956
886	23058	54930
887	23083	54900
888	23113	54884
889	23138	54855
890	23162	54826
891	23188	54800
892	23213	54771
893	23237	54740
894	23264	54716
895	23289	54689
896	23315	54662
897	23339	54633
898	23364	54603
899	23387	54571
900	23411	54540
901	23434	54507
902	23464	54490
903	23495	54475
904	23525	54458
905	23557	54448
906	23583	54422
907	23608	54392
908	23632	54363
909	23658	54335
910	23683	54308
911	23708	54280
912	23733	54251
913	23758	54222
914	23782	54192
915	23808	54166
916	23834	54140
917	23858	54109
918	23882	54079
919	23907	54050
920	23931	54021
921	23955	53991
922	23980	53961
923	24004	53933
924	24028	53902
925	24052	53872
926	24078	53845
927	24105	53821
928	24135	53805
929	24160	53776
930	24185	53748
931	24210	53719
932	24235	53691
933	24259	53662
934	24284	53632
935	24308	53604
936	24334	53576
937	24357	53545
938	24382	53516
939	24407	53489
940	24432	53461
941	24456	53430
942	24480	53400
943	24504	53370
944	24528	53340
945	24553	53312
946	24579	53286
947	24603	53256
948	24630	53231
949	24656	53205
950	24680	53176
951	24706	53149
952	24731	53121
953	24786	53159
954	24816	53140
955	24846	53122
956	24872	53097
957	24897	53068
958	24922	53042
959	24947	53013
960	24972	52985
961	24995	52954
962	25021	52927
963	25052	52911
964	25081	52891
965	25107	52867
966	25138	52850
967	25164	52824
968	25188	52795
969	25214	52767
970	25238	52738
971	25276	52737
972	25299	52705
973	25324	52677
974	25348	52647
975	25372	52617
976	25397	52588
977	25421	52558
978	25447	52532
979	25471	52503
980	25498	52477
981	25522	52448
982	25562	52450
983	25590	52428
984	25614	52400
985	25640	52372
986	25664	52342
987	25688	52313
988	25713	52285
989	25739	52259
990	25765	52233
991	25790	52204
992	25813	52173
993	25840	52149
994	25868	52127
995	25892	52097
996	25917	52069
997	25942	52040
998	25967	52013
999	25992	51985
1000	26017	51957
1001	26042	51928
1002	26066	51898
1003	26089	51867
1004	26114	51839
1005	26139	51812
1006	26168	51790
1007	26193	51763
1008	26224	51746
1009	26249	51719
1010	26273	51688
1011	26295	51656
1012	26321	51629
1013	26345	51600
1014	26370	51572
1015	26395	51544
1016	26420	51517
1017	26446	51489
1018	26470	51459
1019	26494	51430
1020	26518	51400
1021	26543	51373
1022	26568	51344
1023	26592	51314
1024	26617	51288
1025	26643	51260
1026	26668	51233
1027	26692	51204
1028	26717	51175
1029	26742	51148
1030	26767	51119
1031	26790	51089
1032	26815	51062
1033	26840	51033
1034	26866	51007
1035	26891	50979
1036	26916	50951
1037	26940	50922
1038	26965	50893
1039	26990	50867
1040	27016	50840
1041	27040	50811
1042	27066	50784
1043	27094	50762
1044	27125	50745
1045	27157	50732
1046	27183	50705
1047	27217	50695
1048	27242	50667
1049	27267	50639
1050	27292	50611
1051	27318	50585
1052	27342	50556
1053	27367	50529
1054	27392	50501
1055	27417	50473
1056	27442	50446
1057	27469	50421
1058	27492	50390
1059	27517	50362
1060	27543	50335
1061	27568	50307
1062	27591	50277
1063	27618	50253
1064	27644	50227
1065	27669	50199
1066	27694	50171
1067	27719	50143
1068	27743	50115
1069	27776	50101
1070	27803	50076
1071	27828	50049
1072	27854	50023
1073	27882	50000
1074	27908	49975
1075	27934	49949
1076	27960	49924
1077	27988	49901
1078	28014	49875
1079	28040	49850
1080	28067	49825
1081	28092	49797
1082	28117	49770
1083	28142	49743
1084	28167	49715
1085	28192	49687
1086	28219	49662
1087	28243	49633
1088	28268	49606
1089	28293	49578
1090	28318	49550
1091	28344	49524
1092	28369	49497
1093	28394	49469
1094	28419	49442
1095	28444	49413
1096	28469	49387
1097	28496	49362
1098	28521	49335
1099	28546	49307
1100	28571	49279
1101	28596	49251
1102	28622	49225
1103	28646	49197
1104	28672	49172
1105	28700	49148
1106	28727	49124
1107	28755	49101
1108	28782	49078
1109	28807	49050
1110	28832	49023
1111	28857	48994
1112	28881	48967
1113	28907	48940
1114	28932	48912
1115	28957	48884
1116	28982	48858
1117	29007	48830
1118	29032	48802
1119	29057	48774
1120	29082	48747
1121	29106	48718
1122	29130	48689
1123	29158	48667
1124	29190	48651
1125	29220	48630
1126	29245	48604
1127	29271	48578
1128	29296	48551
1129	29323	48526
1130	29350	48502
1131	29376	48475
1132	29401	48448
1133	29426	48421
1134	29451	48393
1135	29477	48367
1136	29500	48337
1137	29525	48309
1138	29550	48282
1139	29575	48255
1140	29599	48225
1141	29623	48196
1142	29647	48167
1143	29672	48139
1144	29696	48110
1145	29720	48081
1146	29745	48054
1147	29772	48030
1148	29796	48001
1149	29821	47973
1150	29846	47946
1151	29870	47916
1152	29894	47887
1153	29918	47859
1154	29943	47832
1155	29969	47805
1156	29994	47778
1157	30018	47750
1158	30044	47723
1159	30068	47694
1160	30092	47665
1161	30124	47649
1162	30151	47625
1163	30175	47597
1164	30201	47569
1165	30225	47540
1166	30250	47514
1167	30275	47486
1168	30299	47458
1169	30323	47429
1170	30355	47411
1171	30383	47390
1172	30410	47365
1173	30436	47340
1174	30460	47311
1175	30484	47282
1176	30508	47253
1177	30533	47225
1178	30557	47196
1179	30582	47169
1180	30623	47166
1181	30648	47139
1182	30673	47111
1183	30699	47087
1184	30723	47057
1185	30750	47032
1186	30775	47005
1187	30799	46976
1188	30824	46949
1189	30849	46922
1190	30875	46896
1191	30899	46868
1192	30925	46842
1193	30949	46813
1194	30974	46785
1195	30998	46756
1196	31022	46728
1197	31049	46703
1198	31073	46675
1199	31100	46650
1200	31125	46622
1201	31150	46596
1202	31177	46572
1203	31208	46553
1204	31238	46533
1205	31263	46506
1206	31289	46480
1207	31323	46466
1208	31351	46444
1209	31379	46420
1210	31405	46394
1211	31433	46371
1212	31461	46349
1213	31487	46323
1214	31513	46297
1215	31540	46273
1216	31566	46247
1217	31592	46222
1218	31618	46196
1219	31645	46171
1220	31670	46144
1221	31697	46119
1222	31723	46093
1223	31748	46066
1224	31775	46041
1225	31801	46016
1226	31827	45990
1227	31853	45964
1228	31879	45938
1229	31937	45959
1230	31971	45944
1231	32000	45922
1232	32026	45896
1233	32059	45881
1234	32090	45862
1235	32124	45848
1236	32185	45872
1237	32227	45868
1238	32290	45895
1239	32320	45874
1240	32350	45853
1241	32379	45831
1242	32414	45817
1243	32445	45798
1244	32476	45780
1245	32504	45756
1246	32561	45774
1247	32610	45779
1248	32657	45783
1249	32690	45766
1250	32729	45758
1251	32770	45752
1252	32797	45727
1253	32824	45703
1254	32852	45679
1255	32878	45652
1256	32957	45700
1257	32993	45688
1258	33029	45674
1259	33061	45656
1260	33094	45639
1261	33124	45618
1262	33150	45591
1263	33176	45564
1264	33201	45537
1265	33236	45523
1266	33263	45497
1267	33288	45470
1268	33314	45443
1269	33338	45414
1270	33364	45386
1271	33390	45360
1272	33416	45334
1273	33443	45309
1274	33471	45285
1275	33498	45259
1276	33524	45233
1277	33550	45207
1278	33576	45180
1279	33606	45158
1280	33633	45133
1281	33661	45109
1282	33689	45085
1283	33715	45059
1284	33741	45031
1285	33767	45005
1286	33793	44979
1287	33820	44953
1288	33846	44927
1289	33879	44910
1290	33909	44888
1291	33939	44866
1292	33965	44840
1293	33990	44813
1294	34017	44788
1295	34045	44763
1296	34077	44745
1297	34105	44720
1298	34131	44693
1299	34154	44663
1300	34178	44634
1301	34202	44605
1302	34226	44576
1303	34258	44557
1304	34283	44529
1305	34308	44501
1306	34333	44473
1307	34362	44450
1308	34387	44422
1309	34410	44391
1310	34434	44362
1311	34459	44335
1312	34485	44308
1313	34509	44279
1314	34534	44250
1315	34557	44221
1316	34583	44194
1317	34609	44167
1318	34635	44140
1319	34664	44118
1320	34693	44095
1321	34720	44070
1322	34746	44044
1323	34772	44017
1324	34798	43990
1325	34822	43961
1326	34845	43931
1327	34873	43906
1328	34899	43879
1329	34923	43851
1330	34949	43824
1331	34973	43795
1332	34999	43768
1333	35023	43739
1334	35047	43710
1335	35071	43681
1336	35096	43654
1337	35120	43625
1338	35144	43596
1339	35169	43567
1340	35193	43539
1341	35217	43509
1342	35244	43484
1343	35270	43458
1344	35296	43431
1345	35320	43403
1346	35343	43373
1347	35369	43346
1348	35394	43318
1349	35419	43290
1350	35446	43264
1351	35470	43236
1352	35500	43214
1353	35527	43189
1354	35551	43160
1355	35576	43132
1356	35601	43105
1357	35625	43076
1358	35650	43047
1359	35674	43019
1360	35700	42992
1361	35725	42965
1362	35751	42938
1363	35775	42909
1364	35798	42879
1365	35821	42849
1366	35848	42823
1367	35873	42796
1368	35898	42769
1369	35921	42739
1370	35945	42709
1371	35970	42681
1372	35994	42653
1373	36019	42625
1374	36044	42597
1375	36075	42577
1376	36101	42550
1377	36126	42522
1378	36149	42493
1379	36173	42464
1380	36197	42436
1381	36222	42408
1382	36246	42379
1383	36270	42350
1384	36295	42322
1385	36320	42294
1386	36344	42266
1387	36371	42240
1388	36396	42214
1389	36421	42186
1390	36445	42157
1391	36470	42130
1392	36496	42103
1393	36521	42075
1394	36545	42047
1395	36572	42021
1396	36599	41996
1397	36625	41970
1398	36650	41942
1399	36676	41915
1400	36703	41890
1401	36728	41863
1402	36753	41835
1403	36779	41808
1404	36805	41783
1405	36831	41756
1406	36856	41729
1407	36882	41702
1408	36910	41678
1409	36937	41653
1410	36965	41628
1411	36994	41605
1412	37023	41582
1413	37050	41557
1414	37078	41533
1415	37103	41505
1416	37126	41476
1417	37150	41447
1418	37176	41420
1419	37204	41397
1420	37230	41370
1421	37256	41343
1422	37287	41323
1423	37311	41294
1424	37335	41265
1425	37360	41237
1426	37385	41211
1427	37411	41184
1428	37435	41155
1429	37464	41132
1430	37493	41109
1431	37518	41081
1432	37542	41053
1433	37568	41026
1434	37589	40994
1435	37614	40967
1436	37641	40941
1437	37665	40913
1438	37689	40884
1439	37715	40858
1440	37741	40832
1441	37767	40805
1442	37792	40777
1443	37816	40749
1444	37841	40721
1445	37865	40693
1446	37889	40665
1447	37913	40636
1448	37937	40608
1449	37962	40580
1450	37987	40552
1451	38013	40526
1452	38038	40498
1453	38063	40471
1454	38087	40443
1455	38111	40414
1456	38136	40387
1457	38159	40358
1458	38189	40335
1459	38214	40307
1460	38239	40281
1461	38264	40253
1462	38290	40227
1463	38316	40201
1464	38341	40174
1465	38366	40145
1466	38391	40118
1467	38415	40090
1468	38442	40065
1469	38467	40037
1470	38493	40010
1471	38516	39982
1472	38541	39954
1473	38565	39926
1474	38589	39897
1475	38613	39868
1476	38638	39841
1477	38668	39820
1478	38692	39791
1479	38717	39763
1480	38743	39737
1481	38805	39748
1482	38831	39721
1483	38858	39695
1484	38883	39668
1485	38905	39638
1486	38929	39609
1487	38955	39583
1488	38981	39557
1489	39006	39530
1490	39030	39501
1491	39056	39475
1492	39080	39446
1493	39103	39418
1494	39127	39389
1495	39151	39360
1496	39174	39331
1497	39197	39302
1498	39220	39273
1499	39245	39245
1500	39269	39217
1501	39295	39190
1502	39318	39161
1503	39342	39133
1504	39366	39105
1505	39391	39077
1506	39417	39051
1507	39442	39023
1508	39467	38996
1509	39491	38968
1510	39516	38940
1511	39539	38911
1512	39563	38883
1513	39587	38855
1514	39612	38827
1515	39640	38803
1516	39668	38779
1517	39693	38752
1518	39719	38726
1519	39746	38700
1520	39771	38673
1521	39797	38647
1522	39823	38620
1523	39862	38606
1524	39908	38599
1525	39934	38574
1526	39960	38547
1527	39987	38521
1528	40013	38495
1529	40040	38469
1530	40065	38443
1531	40092	38417
1532	40118	38391
1533	40145	38365
1534	40172	38340
1535	40199	38314
1536	40223	38287
1537	40247	38258
1538	40274	38232
1539	40300	38206
1540	40323	38177
1541	40347	38149
1542	40370	38120
1543	40396	38094
1544	40423	38068
1545	40448	38041
1546	40473	38014
1547	40501	37989
1548	40527	37963
1549	40552	37935
1550	40576	37908
1551	40602	37882
1552	40628	37855
1553	40654	37828
1554	40680	37802
1555	40705	37775
1556	40730	37748
1557	40755	37721
1558	40780	37693
1559	40804	37665
1560	40829	37638
1561	40853	37610
1562	40880	37584
1563	40907	37559
1564	40932	37531
1565	40955	37503
1566	40980	37475
1567	41004	37447
1568	41028	37420
1569	41053	37392
1570	41079	37366
1571	41102	37337
1572	41129	37312
1573	41154	37284
1574	41179	37257
1575	41206	37232
1576	41234	37207
1577	41260	37181
1578	41288	37156
1579	41317	37133
1580	41357	37120
1581	41383	37093
1582	41409	37067
1583	41435	37040
1584	41486	37037
1585	41513	37010
1586	41538	36984
1587	41579	36970
1588	41605	36944
1589	41632	36919
1590	41658	36892
1591	41685	36867
1592	41712	36842
1593	41739	36816
1594	41766	36790
1595	41792	36764
1596	41817	36737
1597	41843	36711
1598	41868	36684
1599	41894	36657
1600	41922	36633
1601	41948	36607
1602	41976	36582
1603	42001	36555
1604	42028	36529
1605	42053	36501
1606	42080	36476
1607	42105	36449
1608	42131	36423
1609	42157	36396
1610	42184	36371
1611	42208	36343
1612	42234	36316
1613	42259	36289
1614	42286	36264
1615	42311	36237
1616	42335	36208
1617	42359	36181
1618	42384	36154
1619	42410	36127
1620	42436	36101
1621	42462	36074
1622	42488	36048
1623	42515	36022
1624	42540	35995
1625	42565	35968
1626	42590	35941
1627	42616	35914
1628	42638	35885
1629	42661	35856
1630	42686	35829
1631	42711	35802
1632	42735	35774
1633	42759	35746
1634	42784	35719
1635	42809	35692
1636	42834	35664
1637	42859	35637
1638	42883	35610
1639	42909	35583
1640	42934	35555
1641	42958	35528
1642	42985	35503
1643	43013	35477
1644	43038	35451
1645	43062	35423
1646	43086	35395
1647	43111	35368
1648	43135	35340
1649	43158	35311
1650	43182	35283
1651	43208	35257
1652	43232	35229
1653	43255	35200
1654	43279	35172
1655	43303	35145
1656	43328	35118
1657	43358	35094
1658	43381	35066
1659	43421	35050
1660	43445	35023
1661	43470	34995
1662	43494	34968
1663	43519	34940
1664	43544	34914
1665	43570	34888
